Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Gulf of Finland|an eastern arm of the Baltic Sea; between Finland and Estonia
Gulf of Guinea|a gulf off the southwest coast of Africa
Gulf of Martaban|an arm of the Andaman Sea off southern Myanmar
Golfo de Mexico|an arm of the Atlantic to the south of the United States and to the east of Mexico
Bay of Ob|an inlet of the Kara Sea in western Siberia
Gulf of Oman|an arm of the Arabian Sea connecting it with the Persian Gulf
Gulf of Riga|an inlet of the Baltic Sea between Latvia and Estonia
Gulf of St. Lawrence|an arm of the northwest Atlantic Ocean off the southeastern coast of Canada
Gulf of Sidra|wide inlet of the Mediterranean Sea on the north coast of Libya
Gulf of Suez|a northwestern arm of the Red Sea linked to the Mediterranean by the Suez Canal
Gulf of Tehuantepec|an arm of the Pacific in southern Mexico
Gulf of Siam|an arm of the South China Sea between Indochina and the Malay Peninsula
Gulf of Venice|an arm of the Adriatic Sea
Hampton Roads|a channel in southeastern Virginia through which the Elizabeth River and the James River flow into Chesapeake Bay
Hangzhou Bay|a bay formed by an inlet of the East China Sea
Hercules|a large constellation in the northern hemisphere between Lyra and Corona Borealis
Himalayas|a mountain range extending 1500 miles on the border between India and Tibet; this range contains the world's highest mountain
Hindu Kush Mountains|a mountain range extending to the west of the Himalayas
Hoek van Holland|a cape on the southwestern coast of the Netherlands near Rotterdam
Housatonic River|a river that rises in western Massachusetts and flows south through Connecticut to empty into Long Island Sound
Hwang Ho|a major river of Asia in northern China; flows generally eastward into the Yellow Sea; carries large quantities of yellow silt to its delta
Mount Hubbard|a mountain peak in southeastern Alaska that is part of the Coast Range (14,950 feet high)
Hudson River|a New York river; flows southward into New York Bay; explored by Henry Hudson early in the 17th century
Hudson Bay|an inland sea in northern Canada
Humber|an estuary in central northeastern England formed by the Ouse River and the Trent River
Hydra|a long faint constellation in the southern hemisphere near the equator stretching between Virgo and Cancer
Hydrus|a constellation in the southern hemisphere near the south celestial pole
Iguazu Falls|a large waterfall on the border between Argentina and Brazil
IJssel river|a river in the central Netherlands flowing north to the IJsselmeer
IJsselmeer|a shallow lake in northwestern Netherlands created in 1932 by building a dam across the entrance to the Zuider Zee
Illinois River|a river in Illinois that flows southwest to the Mississippi River
Indian Ocean|the 3rd largest ocean; bounded by Africa on the west, Asia on the north, Australia on the east and merging with the Antarctic Ocean to the south
Indigirka River|a river in far eastern Siberia that flows generally northward to the Arctic Ocean
Indus River|an Asian river that rises in Tibet and flows through northern India and then southwest through Kashmir and Pakistan to the Arabian Sea; "the valley of the Indus was the site of an early civilization"
Indus|a faint constellation in the southern hemisphere near Telescopium and Tucana
Inside Passage|a naturally protected waterway from Seattle to Skagway in southeastern Alaska
Inland Sea|an arm of the Pacific Ocean in southern Japan; surrounded by the islands of Honshu and Shikoku and Kyushu and linked to the Sea of Japan by a narrow channel; the chief port is Hiroshima
Galilean satellite|the closest of Jupiter's moons; has active volcanoes
Ionian Sea|an arm of the Mediterranean Sea between western Greece and southern Italy
Irish Sea|an arm of the North Atlantic between Great Britain and Ireland
Irrawaddy River|the main river of Myanmar rising in the north and flowing south through the length of Burma to empty into the Andaman Sea
Irtish River|an Asian river that rises in the Altai Mountains in northern China and flows generally northwest to become a tributary of the Ob River
Isere River|a river in southeastern France; a tributary of the Rhone
Isthmus of Corinth|a narrow isthmus between the Gulf of Corinth and the Saronic Gulf; a canal crosses the isthmus so that navigation is possible between the gulfs
Isthmus of Kra|a narrow isthmus linking the Malay Peninsula to the Asian mainland
Isthmus of Darien|the isthmus that connects Central America and South America; was formerly called the Isthmus of Darien; "Balboa crossed the Isthmus of Darien"
Isthmus of Suez|the isthmus in northeastern Egypt that connects Africa and Asia
Isthmus of Tehuantepec|the narrowest part of southern Mexico is an isthmus between the Bay of Campeche on the north coast and the Gulf of Tehuantepec on the south coast
James River|a river that rises in North Dakota and flows southward across South Dakota to the Missouri
James River|a river in Virginia that flows east into Chesapeake Bay at Hampton Roads
James Bay|the southern extension of Hudson Bay in Canada between western Quebec and northeastern Ontario
Japan Trench|a depression in the floor of the Pacific Ocean to the northeast of Japan that reaches depths of 30,000 feet
Jebel Musa|a promontory in northern Morocco opposite the Rock of Gibraltar; one of the Pillars of Hercules
Jordan River|a river in Palestine that empties into the Dead Sea; John the Baptist baptized Jesus in the Jordan
Jupiter|the largest planet and the 5th from the sun; has many satellites and is one of the brightest objects in the night sky
Godwin Austen|a mountain peak in the Karakoram Range in northern Kashmir; the 2nd highest peak in the world (28,250 feet high)
Kanawha River|a tributary of the Ohio River in West Virginia
Mount Kanchenjunga|a mountain the Himalayas on the border between Nepal and Tibet (28,208 feet high)
Kansas River|a river in northeastern Kansas; flows eastward to become a tributary of the Missouri River
Karakoram Range|a mountain range in northern Kashmir; an extension of the Hindu Kush; contains the 2nd highest peak
Kara Sea|part of the Arctic Ocean to the north of Siberia and to the east of the Barents Sea; icebound most of the year
Karelian Isthmus|the isthmus between the Gulf of Finland and Lake Ladoga that connects Finland and Russia
Kasai River|a river of southwestern Africa that rises in central Angola and flows east and then north (forming part of the border between Angola and Congo) and continuing northwest through Congo to empty into the Congo River on the border between Congo and Republic of the Congo
Kattegatt|a strait of the North Sea between Jutland and Sweden; connects with the North Sea through the Skagerrak
Lake Keuka|a glacial lake in central New York; one of the Finger Lakes
Khyber Pass|a mountain pass of great strategic and commercial value in the Hindu Kush on the border between northern Pakistan and western Afghanistan; a route by which invaders entered India
Mount Kilimanjaro|the highest peak in Africa; located in northeastern Tanzania; 19,340 feet high
Kissimmee River|a river of central Florida that flows southward to Lake Okeechobee
Lake Kivu|a lake in the mountains of central Africa between Congo and Rwanda
Klamath River|a river flowing southwest from Oregon through northern California to the Pacific Ocean
Kodiak Island|an island off southern Alaska in the Gulf of Alaska; site of the first European settlement in the area which was founded by the Russians in 1784
Korea Bay|an inlet of the Yellow Sea between the Liaodong Peninsula in China and western Korea
Korea Strait|a strait between Korea and Japan; connects the East China Sea and the Sea of Japan
Edgeworth-Kuiper belt|a disk-shaped region of minor planets outside the orbit of Neptune
Kuiper belt object|any of many minor planets in the Kuiper belt outside the orbit of Neptune at the edge of the solar system
Kunlan Shan|a mountain range in western China that extends eastward from the Indian border for 1000 miles
Kura River|a river in western Asia; rises in northeast Turkey and flows to the Caspian Sea
Labrador Peninsula|a peninsular region of eastern Canada between Hudson Bay and the Labrador Sea; contains most of Quebec and the mainland part of Newfoundland and Labrador
Labrador Sea|an arm of the northern Atlantic between Labrador and southern Greenland
Lake Albert Nyanza|a shallow lake on the border between Uganda and Congo in the Great Rift Valley
Aral Sea|a lake to the east of the Caspian Sea lying between Kazakhstan and Uzbekistan
Lake Chad|a lake in north central Africa; fed by the Shari river
Lake Champlain|a lake in northeastern New York, northwestern Vermont and southern Quebec; site of many battles in the French and Indian War and in the American Revolution and in the War of 1812
Lake Edward|a lake in the Great Rift Valley between Congo and Uganda
Lake Erie|the 4th largest of the Great Lakes; it is linked to the Hudson River by the New York State Barge Canal
Lake Leman|a lake between southwestern Switzerland and France that is crossed from east to west by the Rhone
Lake Huron|the 2nd largest of the Great Lakes
Lake Ilmen|a lake in northwestern Russia; drains through the Volkhov River into Lake Ladoga
Lake Ladoga|a lake in northwestern Russia to the north of St. Petersburg; the largest lake in Europe; drains through the Neva River into the Gulf of Finland
